Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
GTN,"Gray Television, Inc.",A,C,D,D,D,2076.484931,.5X
H,Hyatt Hotels Corporation,D,B,B,C,C,4718.936427,1X
HAE,Haemonetics Corp.,A,D,C,D,C,2919.215342,1X
HBI,Hanesbrands Inc,D,B,B,C,C,5373.444771,1X
HCKT,Hackett Group Inc (The),A,D,C,B,C,633.519365,.25X
HLF,Herbalife Nutrition Ltd,F,C,C,C,C,3907.122627,1X
HNI,HNI Corp.,D,B,C,B,B,1714.642816,.5X
HOLX,"Hologic, Inc.",D,B,C,D,C,18988.74031,2X
HOV,"Hovnanian Enterprises, Inc.",F,D,D,D,D,424.5802434,.25X
HPQ,HP Inc,D,B,B,C,B,42746.91999,4X
IDXX,"Idexx Laboratories, Inc.",F,C,C,C,C,46150.29007,4X
INGN,Inogen Inc,D,C,C,C,C,752.7178264,.25X
ITCI,Intra-Cellular Therapies Inc,A,D,C,C,C,4965.904131,1X
JACK,"Jack In The Box, Inc.",A,D,C,C,C,1972.544208,.5X
JBT,John Bean Technologies Corp,F,C,B,B,B,3726.922507,1X
JPM,JPMorgan Chase & Co.,F,C,C,C,C,418640.5652,4X
KAMN,Kaman Corp.,A,D,C,C,C,1215.908192,.5X
KAR,KAR Auction Services Inc,A,C,C,D,C,2216.826548,.5X
KEX,Kirby Corp.,A,C,C,C,C,4249.7063,1X
KGC,Kinross Gold Corp.,D,,,,,7041.589148,2X
KMPR,Kemper Corporation,D,C,C,B,C,3444.122473,1X
KOS,Kosmos Energy Ltd,A,B,B,C,C,2618.321782,1X
LC,LendingClub Corp,F,D,C,C,C,1621.003564,.5X
LGF.A,Lions Gate Entertainment Corp.,D,D,C,D,D,1321.37196,.5X
